bytes,psnr,ssim
419.0,100.0,1.0
67.0,100.0,1.0
3178.0,55.166654313,0.99838616018
2814.0,41.1344181801,0.987766411278
4975.0,37.2011031744,0.973390139306
6354.0,37.0218578346,0.968434705975
7403.0,37.4973450182,0.962274046266
8168.0,36.8597239669,0.946046861692
10292.0,36.5340219435,0.925549454491
417.0,34.3863073955,0.897035588494
7590.0,31.8814337391,0.865307710168
18883.0,32.2257869402,0.839479105323
463.0,31.0763003145,0.807063815083
24676.0,30.1978869601,0.778000085303
223.0,28.9678008367,0.745267596961
23846.0,27.4745870372,0.714879668778
569.0,27.7509964687,0.714677058379
507.0,27.905884201,0.713876689789
2109.0,27.9112594621,0.71273166757
130.0,27.8984453757,0.71229455106
138.0,27.831295792,0.711560119016
1763.0,27.7787600462,0.708347846996
116.0,27.79060549,0.710600328397
126.0,27.7825534246,0.710865214166
1620.0,27.7775935677,0.710572958975
122.0,27.7759787712,0.710792326705
111.0,27.7432286305,0.70985584421
1509.0,27.7380171794,0.709541213849
92.0,27.7355246848,0.709443825364
109.0,27.7335222385,0.70965807121
1540.0,27.7349725411,0.709230439219
85.0,27.7346213192,0.709260451259
83.0,27.7451891917,0.712573853694
1678.0,27.7540824095,0.711725703944
92.0,27.7431827024,0.71057731087
91.0,27.7340241057,0.710531729669
1625.0,27.6924198006,0.707350010195
98.0,27.7230081481,0.709674266137
112.0,27.7243922178,0.709740773392
1393.0,27.7307429622,0.709575431822
88.0,27.7141183683,0.709328815277
106.0,27.7208561377,0.709813385751
1508.0,27.7196904328,0.709352034981
100.0,27.6941498285,0.708924787265
118.0,27.6664394238,0.708440093563
1425.0,27.6922860084,0.708800404087
97.0,27.6826662883,0.708227073332
89.0,27.6566668324,0.707925061317
1629.0,27.6899263769,0.711076567453
79.0,27.6668458246,0.709825279911
85.0,27.628342128,0.708676860816
1574.0,27.604269372,0.705125405077
91.0,27.6420417615,0.707370924483
99.0,27.6480482619,0.708168985339
1525.0,27.6598795142,0.708500517509
76.0,27.6558108595,0.709010882014
82.0,27.6703119586,0.709443746386
1176.0,27.6928035352,0.709514051671
88.0,27.6957850056,0.709395367075
78.0,27.6841849527,0.709672111046
1261.0,27.6878395899,0.709853230281
103.0,27.6931077029,0.710025926934
87.0,27.6799042876,0.709808269237
1246.0,27.7026187829,0.710273504889
88.0,27.7500874041,0.713492162151
90.0,27.7302225676,0.711869581157
1262.0,27.6943738854,0.707751319587
93.0,27.7191834551,0.709495231265
83.0,27.7034375171,0.709344594439
1371.0,27.6958083787,0.708661656615
80.0,27.7009935924,0.708744276329
87.0,27.6872891112,0.708962982745
1201.0,27.6805000808,0.708874368023
76.0,27.689013043,0.708503122753
101.0,27.6866030521,0.708103208844
1187.0,27.6992260475,0.708689940433
85.0,27.7137402597,0.708924649893
75.0,27.7020453348,0.708923538367
1234.0,27.6861833458,0.70815630538
82.0,27.6777395559,0.70777312732
88.0,27.7163623846,0.712352920839
1194.0,27.6988860928,0.708194777474
103.0,27.7272804112,0.709777596952
95.0,27.7259387749,0.709795271934
1049.0,27.7184985081,0.709507712694
94.0,27.7104257454,0.709846172189
85.0,27.7066954878,0.709624834026
1231.0,27.714216124,0.709741921603
85.0,27.7168143557,0.709294675162
87.0,27.7169836773,0.709381461906
1252.0,27.7322895081,0.709268448026
78.0,27.7223619416,0.709011857594
79.0,27.7056112694,0.708577580133
1241.0,27.7160725384,0.709085106511
78.0,27.7221036029,0.709139663374
85.0,27.7273937891,0.709840885184
1170.0,27.7398597346,0.710533808685
87.0,27.7436490635,0.71119207791
78.0,27.7226102566,0.710905627552
1225.0,27.7630639634,0.711145604976
88.0,27.7523925892,0.71056449468
88.0,27.7391787007,0.71053764201
1144.0,27.7313744563,0.710035473306
83.0,27.7389221048,0.709977123632
93.0,27.7373927603,0.709217236668
1043.0,27.7406291969,0.709049717047
93.0,27.7373489356,0.708910663379
84.0,27.7342382984,0.708856176835
1070.0,27.7122054114,0.708500741348
78.0,27.7226741462,0.709074121234
79.0,27.7075129034,0.709426739702
1265.0,27.6726850979,0.706198381335
81.0,27.7231340249,0.712413924333
84.0,27.6913777524,0.711223943937
1128.0,27.6769216097,0.710005194174
81.0,27.6879997853,0.709604740783
83.0,27.6863387602,0.709394073542
947.0,27.6940501096,0.709769052495
93.0,27.6830755482,0.708682379397
82.0,27.6795232553,0.708815198869
1102.0,27.6946805773,0.709370055885
78.0,27.7159407311,0.709921858836
82.0,27.7138570468,0.709702198162
1143.0,27.7168320505,0.709295248597
78.0,27.7104493868,0.709084978001
90.0,27.7176603753,0.709569546705
1113.0,27.6912947798,0.706440633797
86.0,27.6931011482,0.707945091838
94.0,27.7325784443,0.712058311482
962.0,27.7162721638,0.710774000171
75.0,27.6769231483,0.708831530943
82.0,27.6650835948,0.708686291163
1104.0,27.6615278011,0.708493482492
77.0,27.6621629771,0.708559206096
74.0,27.6690111169,0.70876472276
1133.0,27.6953253209,0.708999244694
89.0,27.6886101134,0.708455773829
78.0,27.6960688897,0.708644061253
1127.0,27.7068830459,0.708807725369
72.0,27.70590125,0.708702924448
75.0,27.6702777069,0.708475168583
1036.0,27.6376906404,0.706146850488
74.0,27.6352678478,0.707962057507
76.0,27.630467795,0.707802219201
1106.0,27.6962377125,0.711696408134
81.0,27.7060971561,0.710320199201
84.0,27.7020802709,0.70961518805
1060.0,27.6919123822,0.708907374164
85.0,27.6969438685,0.708350899922
87.0,27.7049957492,0.708814877156
999.0,27.6879601166,0.708623883663
81.0,27.6799754484,0.7080337005
84.0,27.6662963076,0.707672482421
888.0,27.6784778481,0.707531768029
95.0,27.6694059551,0.707229633759
105.0,27.6460235683,0.707253709727
1231.0,27.613410002,0.704564889293
105.0,27.6316082357,0.706739820925
104.0,27.6258044013,0.706378955501
995.0,27.6351955391,0.707360790379
105.0,27.6813628656,0.711196750215
95.0,27.6616489604,0.709065944461
1217.0,27.6497014048,0.707834384829
108.0,27.6717550585,0.708199128625
93.0,27.6695753694,0.707347421306
998.0,27.65887102,0.707093672223
97.0,27.6582087202,0.706947832156
107.0,27.6576368701,0.707371986854
924.0,27.6466434271,0.706595483168
94.0,27.6563196312,0.706191800338
95.0,27.6719933709,0.706984229817
1102.0,27.6654750711,0.704648609896
104.0,27.6777466466,0.706641262984
102.0,27.6628544862,0.706569064543
1041.0,27.6573390869,0.706486027759
96.0,27.6490082066,0.70642916357
117.0,27.6976091149,0.710177097613
940.0,27.7063712652,0.709155836202
101.0,27.6791174434,0.707631299741
85.0,27.6636357949,0.707238962469
846.0,27.6263270288,0.706854006711
85.0,27.6110315088,0.706705441602
97.0,27.5872136975,0.705582798234
973.0,27.5991796426,0.705792165324
98.0,27.6291551389,0.706006671933
95.0,27.6337887027,0.706321228698
1114.0,27.6030548074,0.703898965678
113.0,27.6104589183,0.705495569928
113.0,27.617785304,0.705424233695
961.0,27.5939772226,0.705425261883
91.0,27.5773262436,0.704782132083
88.0,27.5912358842,0.705712697134
911.0,27.6297261479,0.709303037778
85.0,27.6225760376,0.707073797272
95.0,27.5916127362,0.705548689977
992.0,27.5667103582,0.70511102924
81.0,27.543601926,0.704472980725
90.0,27.5493179049,0.704142063485
893.0,27.5582896481,0.704021258308
86.0,27.5750666844,0.704617657251
84.0,27.5699064416,0.704975764453
1076.0,27.5288020836,0.702133538082
80.0,27.5617858712,0.704167764998
89.0,27.5639615357,0.704553448075
939.0,27.5592730726,0.704513998453
97.0,27.5755921004,0.704670145615
103.0,27.5885141237,0.704995953622
886.0,27.5879998556,0.705101679556
94.0,27.6459430688,0.708531487622
99.0,27.6051495077,0.706470762995
884.0,27.5827131042,0.70500162874
92.0,27.585076803,0.705025141731
102.0,27.5838306463,0.703940697788
854.0,27.6006351014,0.70417234047
93.0,27.5984170679,0.704475765659
103.0,27.5812374327,0.704713881474
922.0,27.5530632377,0.702264281937
93.0,27.5877123099,0.70486214524
83.0,27.5698949684,0.705247678435
775.0,27.5792907797,0.705159221507
92.0,27.5999904588,0.704652783824
85.0,27.5953508374,0.70493189649
766.0,27.5828217098,0.704252743188
103.0,27.5612091964,0.704221457498
93.0,27.5914786424,0.707751430402
768.0,27.5731057049,0.70610000988
101.0,27.5722156043,0.70525865962
99.0,27.5841566618,0.704592492337
892.0,27.5529075007,0.704325222947
125.0,27.5696603686,0.704667350058
113.0,27.5638456741,0.70466388295
934.0,27.531592152,0.702097107979
123.0,27.535479926,0.703697592237
109.0,27.535018469,0.703823093043
773.0,27.5195075404,0.702854992834
117.0,27.5330332058,0.703511646595
122.0,27.5044684349,0.703572363494
839.0,27.5339260388,0.703933642996
111.0,27.5407584851,0.703618115713
106.0,27.5349817821,0.70379069316
34509.0,28.1116980919,0.71375209978
1286.0,28.0334181431,0.711125000578
97.0,27.9505387243,0.709088242852
93.0,27.8925687486,0.708645996718
1296.0,27.8498181509,0.707733253292
120.0,27.8446262165,0.707807935247
139.0,27.7920380771,0.705373168606
1090.0,27.8163388791,0.707209099716
132.0,27.8012476521,0.707151651412
133.0,27.7816086007,0.707132119324
993.0,27.7918699949,0.706735266587
144.0,27.7905750906,0.706550874573
127.0,27.7966070576,0.706204016653
1030.0,27.8038993234,0.707017619203
114.0,27.8203686476,0.706687772421
105.0,27.7861752155,0.706568328466
1037.0,27.8445944957,0.710744286945
114.0,27.8327002998,0.708864979446
109.0,27.8060027373,0.707654139825
1288.0,27.802391247,0.707260420011
107.0,27.7846645471,0.707052277024
111.0,27.7634218283,0.70474344719
1077.0,27.7478376255,0.706014090197
106.0,27.7331774136,0.705844138621
109.0,27.716087814,0.705624356335
1018.0,27.7007565984,0.705627823918
116.0,27.7065844023,0.705378116153
98.0,27.7165636759,0.705773369801
1063.0,27.7157718945,0.704767793161
99.0,27.7187179705,0.70485194081
95.0,27.7184843428,0.704677066048
1236.0,27.7212919933,0.705352891121
110.0,27.737130757,0.708560852434
114.0,27.7211088197,0.707112205816
1202.0,27.7035498212,0.706301240719
120.0,27.6958396324,0.705568902077
108.0,27.6309283948,0.702575692973
1019.0,27.651153143,0.704300585596
117.0,27.6637235922,0.704475867939
113.0,27.6748148877,0.70486693637
1125.0,27.6560887699,0.704553729393
132.0,27.6507614557,0.704793843574
113.0,27.6441684652,0.704411664541
1024.0,27.657374921,0.70422617206
130.0,27.6459173493,0.703770415029
131.0,27.6367621184,0.704356691118
1253.0,27.6341217038,0.703932624409
121.0,27.6292294316,0.704079410918
136.0,27.6650926236,0.707884381214
1309.0,27.6788700585,0.707170481088
132.0,27.6698622968,0.70614551868
97.0,27.6364659591,0.703153607346
973.0,27.6494368418,0.704707391552
111.0,27.6644108756,0.704728631179
92.0,27.6279929866,0.704290162689
988.0,27.6141690944,0.704672086208
109.0,27.6359474373,0.704419517532
104.0,27.6154334068,0.704366708149
1015.0,27.6331131633,0.703405793152
93.0,27.6467564044,0.704452047685
87.0,27.6472179784,0.703950219833
896.0,27.632292169,0.703884211904
89.0,27.6102449367,0.703325002784
96.0,27.6002216088,0.703451689995
1206.0,27.5967473637,0.70748539216
93.0,27.6012699072,0.706084557289
